kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,enc_total_ms,,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0159,0.1413,0.0071,0.4752,0.7859,,0.0023,1.5993,0.0545,0.0193,1.8642,1024,1040,32,16,16,1,1.242604021,0.523850713
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0155,0.1259,0.0053,0.4865,0.7668,,0.0028,1.5634,0.0528,0.0176,1.7942,1024,1040,32,16,16,1,1.273555686,0.544288541
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0145,0.1117,0.0044,0.4555,0.7136,,0.0029,1.622,0.0527,0.0182,1.8621,1024,1040,32,16,16,1,1.368501261,0.524441491
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0149,0.1104,0.0041,0.5001,0.7553,,0.0025,1.767,0.0629,0.0196,2.0403,1024,1040,32,16,16,1,1.292946511,0.47863672
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0164,0.1326,0.0056,0.5292,0.8229,,0.0025,1.7253,0.0555,0.0198,1.9791,1024,1040,32,16,16,1,1.186732896,0.493437674
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0162,0.1232,0.0043,0.4941,0.7816,,0.0023,1.6807,0.0507,0.0189,1.9195,1024,1040,32,16,16,1,1.24944025,0.508758791
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.016,0.1177,0.0036,0.483,0.7526,,0.0022,1.6371,0.0487,0.0238,1.8694,1024,1040,32,16,16,1,1.297585039,0.522393549
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0175,0.1129,0.0038,0.4734,0.7339,,0.0024,1.6432,0.0534,0.0183,1.892,1024,1040,32,16,16,1,1.330647909,0.516153541
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.016,0.1148,0.0042,0.4727,0.736,,0.0024,1.6661,0.0542,0.0189,1.9213,1024,1040,32,16,16,1,1.326851223,0.508282153
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0169,0.1215,0.0047,0.7079,0.9897,,0.0039,1.7898,0.0584,0.0196,2.0671,1024,1040,32,16,16,1,0.986725775,0.472431184
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0183,0.1355,0.0046,0.5142,0.8168,,0.0024,1.6347,0.0536,0.0174,1.8748,1024,1040,32,16,16,1,1.195595617,0.520888895
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0165,0.1192,0.0033,0.4983,0.7706,,0.0021,1.6787,0.0616,0.0209,1.9565,1024,1040,32,16,16,1,1.267275499,0.49913749
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0187,0.1471,0.0056,0.4815,0.797,,0.0023,1.6401,0.0494,0.018,1.8703,1024,1040,32,16,16,1,1.225297993,0.52214217
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.016,0.1061,0.0034,0.4687,0.719,,0.0022,1.5411,0.0502,0.0165,1.78,1024,1040,32,16,16,1,1.358223226,0.548630618
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0149,0.1073,0.0047,0.4208,0.67,,0.0022,1.5696,0.0534,0.0179,1.8101,1024,1040,32,16,16,1,1.45755597,0.539507486
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0158,0.124,0.005,0.5112,0.7964,,0.0023,1.6239,0.0535,0.0184,1.8602,1024,1040,32,16,16,1,1.22622112,0.524977153
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.023,0.1209,0.0041,0.4795,0.7631,,0.0024,1.6564,0.0507,0.0179,1.8859,1024,1040,32,16,16,1,1.279730704,0.517823055
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0159,0.1113,0.0036,0.5122,0.7718,,0.0022,1.6875,0.0532,0.0183,1.9333,1024,1040,32,16,16,1,1.265305131,0.505127244
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0162,0.1142,0.0037,0.4844,0.752,,0.0025,1.7103,0.0535,0.0183,1.9494,1024,1040,32,16,16,1,1.298620346,0.500955422
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,FALSE,20,0.0165,0.1212,0.0045,0.4922,0.7752,,0.0023,1.6802,0.0509,0.0179,1.9112,1024,1040,32,16,16,1,1.259755547,0.51096824
,,,,,,,,0.01658,0.12094,0.00448,0.49703,0.77351,#DIV/0!,0.002455,1.65582,0.05369,0.018775,1.902045,1024,1040,32,16,16,1,1.269458586,0.514141607
