kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.9953999999415828,0.17419999994672253,0.4595000000335858,0.9080999998332118,2.413599999727012,20.05989999997837,30.117699999664183,0.4480000002331508,1.445400000193331,0.060200000007171184,1.814499999909458,5.487200000061421,1048576,1048592,32,16,16,1,33.20306663560465,182.24230937250448
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7484999998487183,0.15899999971225043,0.4696999999396212,0.5083000000922766,2.3401000003104855,21.94340000005468,29.95839999994132,0.46519999978045234,1.4581999998881656,0.059299999975337414,1.8082999999933236,5.454399999962334,1048576,1048592,32,16,16,1,33.37961973943731,183.33822235386214
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7889000000650412,0.17240000033780234,0.4527000000962289,0.47369999992952216,2.4065999996309984,22.413699999560777,30.51659999982803,0.45920000002297456,1.427299999704701,0.0594000002820394,1.9254999997428968,5.643199999667559,1048576,1048592,32,16,16,1,32.769050287569236,177.20442303283778
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7751999998836254,0.1837999998315354,0.4579000001285749,0.4760000001624576,2.494200000001001,21.732799999881536,30.202200000076118,0.45109999973647064,1.4750000000276486,0.058200000239594374,1.7801999997573148,5.466899999646557,1048576,1048592,32,16,16,1,33.11017078217745,182.91902176089766
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7776999998204701,0.15559999974357197,0.49699999999575084,0.4548000001705077,2.37230000038835,19.93960000027073,27.97489999966274,0.4604999999173742,1.478399999996327,0.05920000012338278,1.9695000000865548,5.634999999983847,1048576,1048592,32,16,16,1,35.74632974602432,177.46228926404018
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7583999997441424,0.1667999999881431,0.4560000002129527,0.44189999971422367,2.4504999996679544,19.491999999900145,27.624700000160374,0.5303999996613129,1.458100000036211,0.0617999999121821,1.9010000000889704,5.678699999862147,1048576,1048592,32,16,16,1,36.19948813902756,176.096641841315
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7747999995663122,0.1700000002529123,0.45709999994869577,0.4276999998182873,2.4705000000722066,19.448300000021845,27.606999999989057,0.470499999664753,1.4383000002453628,0.05819999978484702,1.7780000002858287,5.747400000018388,1048576,1048592,32,16,16,1,36.22269714204355,173.9917179936668
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7961999997169187,0.17559999969307682,0.45169999975769315,0.46220000012908713,2.5354999997944105,19.28300000008676,27.538100000128907,0.4623999998329964,1.4714999997522682,0.0586999999541149,1.8390999998700863,5.594599999767524,1048576,1048592,32,16,16,1,36.31332590103598,178.74378866077174
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.778199999989738,0.1689000000624219,0.45939999972688383,0.44879999995828257,2.4948999998741783,19.420200000240584,27.580999999827327,0.4741999996440427,1.4271000000007916,0.0629000001026725,1.7812999999478052,5.56719999985944,1048576,1048592,32,16,16,1,36.25684347943369,179.62350912940937
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7977000002247223,0.17800000023271423,0.4641000000447093,0.4699000000982778,2.6616999998623214,19.596199999796227,28.00630000001547,0.4606999996212835,1.437699999769393,0.05970000029265066,1.8043000000034226,5.441100000098231,1048576,1048592,32,16,16,1,35.70625180760927,183.78636672399816
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7779999998310814,0.1895999998851039,0.4533000001174514,0.4758999998557556,3.0820000001767767,21.12280000028477,29.955900000004476,0.4573000001073524,1.5002000000094995,0.06370000028255163,1.8738000003395427,5.585000000337459,1048576,1048592,32,16,16,1,33.38240546936832,179.05102953260118
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.8785000002026209,0.17220000017914572,0.4560000002129527,0.4629000000022643,2.505800000108138,20.735600000080012,29.101000000082422,0.47420000009879004,1.8239999999423162,0.06469999971159268,1.8488000000616012,6.031500000062806,1048576,1048592,32,16,16,1,34.36308030642135,165.79623642370672
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.8458999998074432,0.15439999970112694,0.4830999996556784,0.43989999994664686,2.4922000002334244,20.370100000036473,28.621799999655195,0.46629999997094274,1.4660000001640583,0.06249999978535925,1.8199999999524152,5.533699999887176,1048576,1048592,32,16,16,1,34.93840359488386,180.71091675016507
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7879000001812528,0.17710000020088046,0.4594000001816312,0.4559999997582054,2.438299999994342,20.7777000000533,28.91429999999673,0.4701999996541417,1.4732999998159357,0.06200000007083872,1.7877000000225962,5.760099999861268,1048576,1048592,32,16,16,1,34.584963149725674,173.60809708582923
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.8051000001833017,0.17630000002100132,0.4565000003822206,0.4591999995682272,3.9790000000721193,19.20749999999316,28.893500000322092,0.46710000015082187,1.4986999999564432,0.06680000024061883,1.812900000004447,5.537999999887688,1048576,1048592,32,16,16,1,34.609860348827674,180.57060310947637
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.8145999997614126,0.17389999993611127,0.4911000000902277,0.49799999987953925,2.4817000003167777,18.284400000084133,26.565600000139966,0.4673000003094785,1.44929999987653,0.059500000133994035,1.8344000000070082,5.894599999919592,1048576,1048592,32,16,16,1,37.642665702816096,169.64679537434958
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1MB.txt,True,20,1.7806999999265827,0.5019000000174856,0.46710000015082187,0.5009000001336972,2.3518999996667844,19.02780000000348,27.59539999988192,0.46559999964301824,1.4691999999740801,0.05980000014460529,1.8814000000020314,5.570100000113598,1048576,1048592,32,16,16,1,36.237923712078064,179.52999048124911
